NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings
,24420,,"Grants Pass, OR",84745,12,41,3.4,Low,0.2,Very Low,Cyber Security Analyst / Specialist,Help Desk Technician / Analyst,Systems Engineer,,,,,,,,0,1,11,0,0,0,1,11,<10,<10,<10,<10,0,0,0,0,0
,24500,,"Great Falls, MT",82278,34,123,3.6,Low,0.4,Very Low,Cyber Security Engineer,Cyber Security Analyst / Specialist,Chief Technology Officer,Network Administrator,Network Analyst / Specialist,Attorney,IT Director,Network Support Technician,,,12,14,24,20,0,8,8,86,<10,<10,<10,<10,22,5,0,2,0
,24540,,"Greeley, CO",285174,23,77,3.3,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,IT Manager,IT Project Manager,IT Specialist / Engineer,Systems Analyst,Systems Support Specialist,Technical Consultant / Analyst,,,7,5,19,5,1,2,11,120,96,<10,14,11,0,1,0,1,0
,24580,,"Green Bay, WI",316519,89,450,5.1,Average,0.2,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Engineer,Network Engineer / Architect,IT Director,Systems Administrator,Auditor,Computer Operator,IT Manager,Network Analyst / Specialist,26,29,64,20,10,18,25,27,20,<10,<10,<10,4,21,2,4,9
,24660,,"Greensboro-High Point, NC",752157,318,1428,4.5,Average,0.4,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Administrator,SAP Architect / Analyst,Business / Systems Analyst,Network Administrator,PHP Developer,Risk Manager / Analyst,128,149,194,89,8,31,70,143,63,<10,44,11,7,53,7,65,20
,24780,,"Greenville, NC",175842,36,76,2.1,Very Low,0.2,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Administrator,VMware Engineer / Administrator,Computer Repair Technician,IT Administrator,Network Engineer / Architect,,,,11,13,32,12,0,4,4,48,<10,<10,<10,<10,4,0,0,0,0
,24860,,"Greenville-Anderson-Mauldin, SC",874869,302,948,3.1,Very Low,0.3,Very Low,Cyber Security Analyst / Specialist,Software Developer / Engineer,Network Engineer / Architect,Auditor,Cyber Security Engineer,Systems Engineer,Database Administrator,Network Analyst / Specialist,IT Manager,Network Administrator,88,128,175,65,6,26,63,190,70,<10,34,<10,6,39,2,12,15
,25060,,"Gulfport-Biloxi-Pascagoula, MS",389255,245,841,3.4,Low,0.7,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Systems Administrator,Cyber Security Engineer,Software Developer / Engineer,Information Assurance Engineer / Analyst,Network Analyst / Specialist,Project Manager,Systems Engineer,Systems Support Specialist,71,106,185,53,10,28,29,1305,47,<10,<10,<10,75,42,0,15,0
,25180,,"Hagerstown-Martinsburg, MD-WV",261486,162,681,4.2,Average,0.7,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Database Administrator,Information Assurance Engineer / Analyst,Crime Scene / Forenensic Science Technician,Perl Developer,Database Analyst / Developer,Systems Engineer,IT Specialist / Engineer,Systems Integration Engineer / Specialist,58,60,127,73,29,36,27,640,148,<10,11,11,25,35,2,20,5
,25220,,"Hammond, LA",128755,13,75,5.8,Average,0.1,Very Low,Database Administrator,Software Developer / Engineer,.NET Developer / Engineer,Auditor,Computer Support Specialist,Cyber Security Analyst / Specialist,Network Administrator,,,,2,5,7,0,2,0,4,39,<10,<10,<10,<10,0,0,0,0,0
,25260,,"Hanford-Corcoran, CA",150965,16,104,6.5,High,0.2,Very Low,IT Specialist / Engineer,Network Engineer / Architect,Computer Support Specialist,Cyber Security Analyst / Specialist,Electronics Engineer,Unix Administrator / Engineer,,,,,2,6,14,0,0,0,0,73,<10,<10,<10,<10,9,2,0,0,0
,25420,,"Harrisburg-Carlisle, PA",565006,896,2034,2.3,Very Low,1.1,Average,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Systems Administrator,Software Developer / Engineer,Auditor,Systems Engineer,Network Administrator,Computer Support Specialist,IT Specialist / Engineer,307,410,665,286,72,119,175,808,200,<10,77,28,162,206,3,70,72
,25500,,"Harrisonburg, VA",131131,30,267,8.9,Very High,0.2,Very Low,Cyber Security Analyst / Specialist,Systems Analyst,Information Assurance Engineer / Analyst,IT Director,Exchange Engineer,Systems Administrator,Systems Engineer,Auditor,Project Manager,,9,10,20,1,2,3,12,43,<10,<10,<10,<10,4,4,0,1,0
,25540,,"Hartford-West Hartford-East Hartford, CT",1211324,1866,2346,1.3,Very Low,1.3,High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,IT Project Manager,Systems Engineer,Systems Integration Engineer / Specialist,IT Director,Risk Manager / Analyst,Project Manager,759,884,1338,655,109,247,793,261,227,32,168,58,17,400,6,290,180
,25620,,"Hattiesburg, MS",148839,11,82,7.5,High,0.1,Very Low,Network Administrator,Information Assurance Engineer / Analyst,,,,,,,,,3,1,5,5,0,0,0,70,<10,<10,<10,<10,0,0,0,0,0
,25860,,"Hickory-Lenoir-Morganton, NC",362510,78,372,4.8,Average,0.2,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Administrator,Risk Manager / Analyst,Computer Support Specialist,Attorney,IT Project Manager,Systems Engineer,Chief Technology Officer,33,36,48,37,6,13,22,44,11,<10,<10,<10,1,14,0,11,11
,25940,,"Hilton Head Island-Bluffton-Beaufort, SC",207413,118,178,1.5,Very Low,0.7,Very Low,Help Desk Technician / Analyst,IT Specialist / Engineer,Network Engineer / Architect,Systems Administrator,Cyber Security Analyst / Specialist,Systems Analyst,Cyber Security Engineer,Engineering Manager,IT Director,Oracle Database Administrator,22,27,92,18,3,24,19,167,12,<10,<10,<10,69,4,0,2,0
,25980,,"Hinesville, GA",80198,38,151,4,Low,0.9,Average,Systems Analyst,Systems Administrator,Systems Support Specialist,Database Administrator,Electronics Engineer,Help Desk Technician / Analyst,Mathematician,Software Developer / Engineer,Systems Engineer,Computer Repair Technician,14,12,20,1,0,1,5,320,<10,<10,<10,<10,24,4,0,0,0
,26140,,"Homosassa Springs, FL",141058,2,40,20,Very High,0,Very Low,,,,,,,,,,,0,0,0,0,0,0,2,37,<10,<10,<10,<10,0,0,0,0,0
,26300,,"Hot Springs, AR",97177,6,8,1.3,Very Low,0.1,Very Low,Software Developer / Engineer,,,,,,,,,,0,1,0,0,0,1,1,10,<10,<10,<10,<10,0,0,0,0,0
,26380,,"Houma-Thibodaux, LA",212297,11,51,4.7,Average,0,Very Low,Cyber Security Analyst / Specialist,Systems Administrator,,,,,,,,,1,2,11,1,0,0,3,19,<10,<10,<10,<10,0,0,0,0,0
,26420,,"Houston-The Woodlands-Sugar Land, TX",6656947,4707,13956,3,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,Systems Administrator,Risk Manager / Analyst,Technical Consultant / Analyst,IT Director,1907,2502,3006,1482,425,724,1593,1107,1030,59,886,197,55,1461,32,921,540
,26580,,"Huntington-Ashland, WV-KY-OH",361580,12,82,6.8,High,0,Very Low,Cyber Security Analyst / Specialist,Systems Engineer,Mobile Developer / Engineer,Technical Consultant / Analyst,,,,,,,2,6,10,2,0,1,3,86,12,<10,<10,<10,1,3,0,0,0
,26620,,"Huntsville, AL",444752,1796,3905,2.2,Very Low,3.3,Very High,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Software Developer / Engineer,Systems Architect,Systems Engineer,Systems Administrator,Information Assurance Engineer / Analyst,Senior Software Developer / Engineer,Network Administrator,412,1128,1368,505,120,220,229,2296,484,<10,39,48,861,702,3,82,77
,26820,,"Idaho Falls, ID",139747,94,242,2.6,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Network Administrator,Cyber Security Engineer,Electrical Engineer,Network Engineer / Architect,Systems Engineer,Systems Support Specialist,IT Specialist / Engineer,Computer Programmer,Electronics Engineer,56,23,74,40,4,27,16,72,43,<10,<10,<10,6,12,0,5,1
,26900,,"Indianapolis-Carmel-Anderson, IN",1988817,2519,3894,1.5,Very Low,1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Systems Administrator,IT Specialist / Engineer,Systems Analyst,Network Administrator,1057,1253,1837,886,187,521,668,1081,378,50,196,51,151,667,9,408,238
,26980,,"Iowa City, IA",166498,143,299,2.1,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,IT Project Manager,Network Engineer / Architect,Solutions Engineer,Systems Engineer,Computer Support Specialist,Systems Analyst,Systems Administrator,59,65,96,48,17,25,41,39,20,<10,10,<10,1,38,0,22,20
,27060,,"Ithaca, NY",104926,59,133,2.2,Very Low,0.5,Very Low,Computer Support Specialist,Cyber Security Engineer,Systems Support Specialist,Cyber Security Analyst / Specialist,Network Engineer / Architect,IT Director,Software Developer / Engineer,Systems Administrator,Network Administrator,Senior Software Developer / Engineer,13,24,44,13,4,3,8,10,<10,<10,<10,<10,4,8,0,0,1
,27100,,"Jackson, MI",159494,37,94,2.5,Very Low,0.2,Very Low,Computer Support Specialist,Systems Analyst,IT Director,Cyber Security Analyst / Specialist,Software Developer / Engineer,Systems Engineer,Technical Consultant / Analyst,.NET Developer / Engineer,Auditor,Programmer / Analyst,21,14,23,9,0,5,5,33,17,<10,<10,<10,0,0,0,1,2
,27140,,"Jackson, MS",578777,179,696,3.9,Low,0.3,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Auditor,Systems Engineer,Information Assurance Engineer / Analyst,Cyber Security Engineer,Application Support Analyst,Engineering Manager,IT Director,Network Administrator,56,99,151,60,19,29,46,241,47,<10,40,<10,6,56,2,32,33
,27180,,"Jackson, TN",129682,6,24,4,Low,0,Very Low,Cyber Security Analyst / Specialist,Network Administrator,,,,,,,,,0,0,3,1,0,0,2,17,<10,<10,<10,<10,0,0,0,0,0
,27260,,"Jacksonville, FL",1449481,1515,3696,2.4,Very Low,1,Average,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Project Manager,Computer Support Specialist,Software Developer / Engineer,Systems Administrator,Risk Manager / Analyst,568,714,1002,568,114,236,411,1427,325,27,170,63,110,318,12,249,149
,27340,,"Jacksonville, NC",186311,146,684,4.7,Average,1.3,High,Cyber Security Analyst / Specialist,Help Desk Technician / Analyst,Systems Administrator,IT Specialist / Engineer,Information Assurance Engineer / Analyst,Computer Support Specialist,Network Administrator,Network Support Technician,Computer Operator,Computer Repair Technician,13,25,115,20,8,5,13,1070,58,<10,<10,<10,90,22,0,6,6
,27500,,"Janesville-Beloit, WI",161448,29,66,2.3,Very Low,0.2,Very Low,Network Engineer / Architect,Cyber Security Analyst / Specialist,Network Administrator,Systems Engineer,Windows Administrator,Auditor,Help Desk Technician / Analyst,IT Director,Systems Support Specialist,,8,12,24,2,0,2,8,26,<10,<10,<10,<10,0,1,0,2,0
,27620,,"Jefferson City, MO",151145,67,280,4.2,Average,0.4,Very Low,Cyber Security Analyst / Specialist,IT Specialist / Engineer,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,Auditor,Business Intelligence Analyst,Computer Support Specialist,IT Director,Information Assurance Engineer / Analyst,22,34,54,16,3,15,15,60,20,<10,10,<10,0,19,2,8,14
,27740,,"Johnson City, TN",200648,9,95,10.6,Very High,0,Very Low,Cyber Security Analyst / Specialist,Chief Information Officer,Cyber Security Engineer,IT Manager,Software Developer / Engineer,,,,,,5,2,4,2,3,2,4,23,<10,<10,<10,<10,0,3,0,0,0
,27780,,"Johnstown, PA",136411,16,216,13.5,Very High,0.1,Very Low,Cyber Security Analyst / Specialist,Auditor,IT Program Manager,Network Engineer / Architect,Systems Administrator,,,,,,8,2,9,0,0,0,8,61,21,<10,<10,<10,2,2,0,1,2
,27860,,"Jonesboro, AR",128394,4,17,4.3,Average,0,Very Low,Audio / Visual Technician,Software QA Lead,Systems Support Specialist,,,,,,,,2,1,2,1,0,1,2,14,<10,<10,<10,<10,0,0,0,0,0
,27900,,"Joplin, MO",177211,15,54,3.6,Low,0.1,Very Low,Auditor,Cyber Security Analyst / Specialist,Systems Administrator,,,,,,,,8,7,8,0,0,0,3,31,<10,<10,<10,<10,1,8,0,7,1
,27980,,"Kahului-Wailuku-Lahaina, HI",164726,17,186,10.9,Very High,0.1,Very Low,Cyber Security Engineer,Information Assurance Engineer / Analyst,Network Engineer / Architect,Cyber Security Analyst / Specialist,Systems Support Specialist,,,,,,1,9,11,4,1,1,4,92,10,<10,<10,<10,1,3,0,0,0
,28020,,"Kalamazoo-Portage, MI",335340,125,174,1.4,Very Low,0.4,Very Low,Auditor,Cyber Security Analyst / Specialist,Cyber Security Engineer,IT Specialist / Engineer,Network Engineer / Architect,Systems Administrator,Hardware Engineer,Network Support Technician,Infrastructure Architect,Network Administrator,37,62,104,26,3,11,21,117,32,<10,10,<10,2,13,0,27,7
,28100,,"Kankakee, IL",110879,5,57,11.4,Very High,0,Very Low,IT Manager,Cyber Security Analyst / Specialist,,,,,,,,,3,0,1,0,0,1,5,13,<10,<10,<10,<10,0,0,0,0,0
,28140,,"Kansas City, MO-KS",2087471,2134,6829,3.2,Very Low,0.8,Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Systems Administrator,Software Developer / Engineer,Computer Support Specialist,Systems Analyst,Computer Programmer,731,1057,1383,602,100,309,473,1402,498,27,252,71,261,477,18,325,137
,28420,,"Kennewick-Richland, WA",279116,130,300,2.3,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Information Assurance Engineer / Analyst,Software Developer / Engineer,Systems Administrator,Systems Engineer,Project Manager,Systems Support Specialist,Computer Support Specialist,40,68,89,46,11,15,26,100,43,<10,<10,<10,4,27,0,6,7
,28660,,"Killeen-Temple, TX",431032,238,856,3.6,Low,0.7,Low,Cyber Security Analyst / Specialist,Software Developer / Engineer,Information Assurance Engineer / Analyst,Network Engineer / Architect,Systems Analyst,Systems Engineer,Systems Administrator,Application Developer / Engineer,Systems Support Specialist,Telecommunications Specialist / Engineer,79,72,114,22,0,16,42,1580,74,<10,<10,<10,127,31,0,5,7
,28700,,"Kingsport-Bristol-Bristol, TN-VA",307120,11,100,9.1,Very High,0,Very Low,Cyber Security Analyst / Specialist,Systems Support Specialist,IT Director,Network Administrator,,,,,,,4,0,10,3,0,3,6,30,16,<10,<10,<10,0,1,0,0,0
,28740,,"Kingston, NY",180143,9,31,3.5,Low,0.1,Very Low,Cyber Security Analyst / Specialist,Auditor,IT Director,Network Engineer / Architect,,,,,,,3,2,6,1,1,1,4,38,20,<10,<10,<10,0,0,0,1,1
,28940,,"Knoxville, TN",861424,366,1243,3.4,Low,0.4,Very Low,Cyber Security Analyst / Specialist,Help Desk Technician / Analyst,Systems Support Specialist,Network Engineer / Architect,Cyber Security Engineer,Software Developer / Engineer,Systems Engineer,Computer Support Specialist,Network Support Technician,Auditor,105,128,272,82,33,40,97,327,158,<10,51,11,63,78,4,34,36
,29020,,"Kokomo, IN",82556,7,32,4.6,Average,0.1,Very Low,Cyber Security Analyst / Specialist,Software Development / Engineering Manager,Cyber Security Engineer,,,,,,,,1,2,5,3,0,1,5,42,<10,<10,<10,<10,0,0,0,0,0
,29100,,"La Crosse-Onalaska, WI-MN",136985,144,128,0.9,Very Low,0.8,Low,Cyber Security Analyst / Specialist,Cloud Architect,Network Engineer / Architect,Cyber Security Engineer,Software Developer / Engineer,Application Developer / Engineer,IT Manager,Network Administrator,Project Manager,Systems Analyst,74,44,96,62,10,43,58,29,15,<10,<10,<10,0,28,0,12,12
,29180,,"Lafayette, LA",490488,87,236,2.7,Very Low,0.2,Very Low,Cyber Security Analyst / Specialist,Computer Support Specialist,IT Manager,Help Desk Technician / Analyst,IT Project Manager,Solutions Engineer,Chief Information Officer,Cloud Architect,Computer Programmer,IT Director,32,25,42,10,0,17,29,40,<10,<10,<10,<10,10,17,0,5,8
,29200,,"Lafayette-West Lafayette, IN",214363,43,364,8.5,Very High,0.2,Very Low,Cyber Security Analyst / Specialist,Systems Administrator,Network Administrator,Computer Support Specialist,Network Engineer / Architect,Cyber Security Engineer,Auditor,Cloud Architect,Information Assurance Engineer / Analyst,Software Developer / Engineer,6,15,35,10,4,1,8,51,30,<10,<10,<10,9,3,0,2,0
,29340,,"Lake Charles, LA",205605,17,34,2,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Auditor,Technical Consultant / Analyst,IT Director,Network Engineer / Architect,Systems Support Specialist,,,,,5,3,6,3,0,3,7,29,<10,<10,<10,<10,1,0,0,2,0
,29420,,"Lake Havasu City-Kingman, AZ",204737,5,39,7.9,Very High,0,Very Low,IT Director,,,,,,,,,,0,0,0,0,0,1,1,24,<10,<10,<10,<10,0,0,0,0,0
,29460,,"Lakeland-Winter Haven, FL",650092,173,659,3.8,Low,0.3,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Auditor,Help Desk Technician / Analyst,.NET Developer / Engineer,Network Administrator,C / C++ Developer / Engineer,Systems Administrator,C# Developer / Engineer,51,82,118,58,4,27,32,154,61,<10,23,<10,8,22,0,9,9
,29540,,"Lancaster, PA",536624,138,385,2.8,Very Low,0.2,Very Low,Cyber Security Analyst / Specialist,SAP Architect / Analyst,Auditor,Systems Administrator,Systems Engineer,Cyber Security Engineer,Network Administrator,Network Engineer / Architect,Software Developer / Engineer,IT Director,50,59,94,24,15,22,56,133,47,<10,23,<10,5,24,0,30,19
,29620,,"Lansing-East Lansing, MI",472276,448,626,1.4,Very Low,0.9,Average,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Help Desk Technician / Analyst,Software Developer / Engineer,Systems Engineer,Auditor,Systems Analyst,Business Intelligence Analyst,IT Manager,162,215,336,156,39,100,131,202,74,<10,59,13,24,142,2,73,45
,29700,,"Laredo, TX",269721,22,108,4.9,Average,0.1,Very Low,Cyber Security Analyst / Specialist,Network Administrator,Systems Integration Engineer / Specialist,Computer Support Specialist,IT Specialist / Engineer,Technical Consultant / Analyst,,,,,7,2,19,8,0,5,6,13,<10,<10,<10,<10,0,9,2,6,9
,29740,,"Las Cruces, NM",214295,161,356,2.2,Very Low,0.9,Average,Systems Administrator,Unix Administrator / Engineer,Cyber Security Analyst / Specialist,Systems Engineer,Systems Support Specialist,Information Assurance Engineer / Analyst,Network Administrator,Network Engineer / Architect,Systems Integration Engineer / Specialist,Computer Scientists / Researchers,27,60,126,23,0,11,13,307,40,<10,<10,<10,83,31,0,0,0
,29820,,"Las Vegas-Henderson-Paradise, NV",2114801,1537,3203,2.1,Very Low,0.7,Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Auditor,Systems Engineer,IT Specialist / Engineer,Systems Administrator,Network Administrator,Unix Administrator / Engineer,IT Director,552,796,1069,388,116,155,466,1303,270,10,96,31,117,312,5,245,98
,29940,,"Lawrence, KS",118053,84,187,2.2,Very Low,0.7,Low,Computer Support Specialist,Cyber Security Analyst / Specialist,IT Operations / Networking Manager,Cyber Security Engineer,IT Specialist / Engineer,Network Engineer / Architect,Software Developer / Engineer,IT Project Manager,PHP Developer,Web Developer,29,33,54,10,3,1,27,44,22,<10,10,<10,0,8,0,2,0
,30020,,"Lawton, OK",130644,57,297,5.2,Average,0.5,Very Low,Cyber Security Analyst / Specialist,Electrical Engineer,Electronics Engineer,Cyber Security Engineer,Network Engineer / Architect,Systems Administrator,IT Specialist / Engineer,Software Developer / Engineer,Help Desk Technician / Analyst,Network Analyst / Specialist,8,31,42,9,1,1,6,347,17,<10,<10,<10,42,4,0,0,0
,30140,,"Lebanon, PA",137067,1,46,45.7,Very High,0,Very Low,Systems Administrator,,,,,,,,,,0,0,1,0,0,0,0,93,22,<10,<10,<10,0,0,0,0,0
,30300,,"Lewiston, ID-WA",62153,2,15,7.6,Very High,0,Very Low,,,,,,,,,,,2,0,0,0,0,0,2,24,<10,<10,<10,<10,0,0,0,0,0
,30340,,"Lewiston-Auburn, ME",107233,32,107,3.3,Low,0.3,Very Low,Auditor,Cyber Security Analyst / Specialist,IT Director,IT Manager,Network Administrator,Network Engineer / Architect,Risk Manager / Analyst,,,,14,9,9,12,0,8,16,38,10,<10,<10,<10,1,1,0,4,1
,30460,,"Lexington-Fayette, KY",500535,240,490,2,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,Software Developer / Engineer,Systems Administrator,Network Administrator,Computer Support Specialist,IT Director,94,118,152,74,9,39,64,208,62,<10,30,14,14,36,2,40,15
,30620,,"Lima, OH",104425,14,37,2.6,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Engineering Manager,Network Engineer / Architect,Project Manager,Risk Manager / Analyst,Software Developer / Engineer,Systems Support Specialist,,,,3,6,7,2,1,0,7,15,<10,<10,<10,<10,0,0,0,0,0
,30700,,"Lincoln, NE",323578,176,460,2.6,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Auditor,Computer Programmer,Systems Engineer,Cyber Security Engineer,IT Specialist / Engineer,Network Analyst / Specialist,C# Developer / Engineer,Computer Support Specialist,IT Director,55,89,122,40,13,27,34,86,42,<10,18,<10,3,35,2,25,16
,30780,,"Little Rock-North Little Rock-Conway, AR",731612,396,2435,6.1,High,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Systems Administrator,Technical Consultant / Analyst,Systems Analyst,IT Director,Senior Software Developer / Engineer,176,161,228,104,18,58,98,395,111,17,74,16,24,80,1,54,36
,30860,,"Logan, UT-ID",133857,17,39,2.3,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Computer Support Specialist,Computer Repair Technician,Electronics Engineer,IT Director,Network Administrator,,,,,6,1,12,7,0,5,6,125,10,<10,<10,<10,3,2,0,0,0
,30980,,"Longview, TX",217781,12,148,12.3,Very High,0,Very Low,Cyber Security Analyst / Specialist,IT Director,,,,,,,,,3,0,8,2,4,4,9,32,<10,<10,<10,<10,0,0,0,0,0
,31020,,"Longview, WA",103468,5,21,4.2,Average,0.1,Very Low,Computer Support Specialist,Network Administrator,,,,,,,,,0,0,5,1,0,0,0,14,<10,<10,<10,<10,0,0,0,0,0
,31080,,"Los Angeles-Long Beach-Anaheim, CA",13340068,13675,25805,1.9,Very Low,1,Average,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Auditor,Systems Engineer,Systems Administrator,Software Developer / Engineer,IT Director,Network Administrator,IT Project Manager,4958,6952,8835,4231,1083,1714,4450,2927,1535,220,1151,300,450,3673,86,2082,1308
,31140,,"Louisville/Jefferson County, KY-IN",1278413,772,1748,2.3,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Help Desk Technician / Analyst,Network Engineer / Architect,Systems Engineer,Systems Administrator,Network Analyst / Specialist,IT Director,IT Manager,280,328,560,261,29,173,215,744,145,11,<10,<10,45,233,4,143,74
,31180,,"Lubbock, TX",311154,37,198,5.3,Average,0.1,Very Low,Cyber Security Analyst / Specialist,Auditor,Web Developer,Chief Information Officer,Cyber Security Engineer,Systems Engineer,,,,,11,18,24,6,1,5,11,38,16,<10,15,<10,2,12,2,12,8
,31340,,"Lynchburg, VA",259950,59,372,6.3,High,0.2,Very Low,Network Engineer / Architect,Systems Engineer,Cyber Security Analyst / Specialist,IT Director,Network Administrator,Systems Administrator,Computer Support Specialist,Network Analyst / Specialist,Cyber Security Engineer,Exchange Engineer,6,31,42,11,0,7,12,89,29,<10,<10,<10,4,12,0,0,1
,31420,,"Macon, GA",230096,57,122,2.1,Very Low,0.2,Very Low,Cyber Security Analyst / Specialist,Systems Administrator,Chief Information Officer,Database Analyst / Developer,Network Administrator,Systems Support Specialist,Unix Administrator / Engineer,C# Developer / Engineer,Help Desk Technician / Analyst,IT Administrator,7,14,38,7,0,12,22,173,17,<10,<10,<10,4,5,0,4,4
,31460,,"Madera, CA",154998,4,24,6,High,0,Very Low,IT Director,,,,,,,,,,0,0,0,0,0,4,4,15,<10,<10,<10,<10,0,0,0,0,0
,31540,,"Madison, WI",641385,654,1509,2.3,Very Low,0.7,Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Auditor,Systems Administrator,Chief Information Officer,IT Director,Project Manager,Risk Manager / Analyst,Software Developer / Engineer,257,266,463,226,46,171,172,116,111,12,61,21,18,104,2,65,46
74950,31700,,"Manchester-Nashua, NH",406678,104,227,2.2,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Computer Support Specialist,Software QA Engineer / Tester,Systems Engineer,Auditor,Help Desk Technician / Analyst,Systems Administrator,23,51,65,20,0,10,28,<10,<10,<10,<10,<10,6,18,1,9,7
,31740,,"Manhattan, KS",98545,17,62,3.7,Low,0.2,Very Low,IT Director,Cyber Security Analyst / Specialist,Auditor,Cisco Engineer,Front End Developer,Help Desk Technician / Analyst,Network Analyst / Specialist,Network Engineer / Architect,Systems Analyst,,7,6,8,3,1,8,8,119,17,<10,<10,<10,1,3,0,1,1
,31860,,"Mankato-North Mankato, MN",99134,19,80,4.2,Average,0.1,Very Low,Cyber Security Analyst / Specialist,Information Specialist,IT Specialist / Engineer,Network Engineer / Architect,Network Support Technician,Systems Support Specialist,,,,,8,1,18,5,0,4,4,11,<10,<10,<10,<10,5,2,0,5,1
,31900,,"Mansfield, OH",121707,8,22,2.7,Very Low,0.1,Very Low,,,,,,,,,,,1,0,0,0,0,0,1,39,<10,<10,<10,<10,0,0,0,0,0
,32580,,"McAllen-Edinburg-Mission, TX",842304,30,310,10.3,Very High,0,Very Low,Cyber Security Analyst / Specialist,Network Support Technician,Systems Support Specialist,Help Desk Technician / Analyst,IT Project Manager,IT Specialist / Engineer,Network Engineer / Architect,Systems Administrator,Systems Engineer,,5,6,20,3,0,2,11,49,13,<10,<10,<10,0,4,1,0,2
,32780,,"Medford, OR",212567,41,93,2.3,Very Low,0.2,Very Low,Auditor,Data / Data Mining Analyst,Cyber Security Analyst / Specialist,Systems Administrator,IT Manager,Cyber Security Engineer,IT Project Manager,Software Developer / Engineer,,,18,14,31,3,0,1,5,31,<10,<10,<10,<10,3,3,0,20,2
,32820,,"Memphis, TN-MS-AR",1344127,914,1839,2,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Information Assurance Engineer / Analyst,IT Director,Database Administrator,Software Developer / Engineer,Systems Engineer,IT Specialist / Engineer,345,453,599,224,22,127,200,432,158,12,129,23,113,221,13,165,72
,32900,,"Merced, CA",268455,27,35,1.3,Very Low,0.2,Very Low,IT Director,Cyber Security Analyst / Specialist,Systems Administrator,Computer Support Specialist,IT Specialist / Engineer,Network Engineer / Architect,,,,,5,2,14,4,3,14,15,17,<10,<10,<10,<10,0,0,0,0,0
