NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings
,13820,,"Birmingham-Hoover, AL",1145647,603,1906,3.2,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,IT Director,Computer Support Specialist,Systems Administrator,Systems Support Specialist,Application Developer / Engineer,278,259,434,239,29,155,132,338,155,<10,130,17,29,195,2,139,45
,13900,,"Bismarck, ND",129517,73,163,2.2,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Cyber Security Engineer,Systems Administrator,IT Specialist / Engineer,Systems Engineer,Network Analyst / Specialist,Risk Manager / Analyst,Cisco Engineer,Database Administrator,26,35,64,28,4,21,16,36,<10,<10,<10,<10,2,23,2,7,14
,13980,,"Blacksburg-Christiansburg-Radford, VA",181747,70,448,6.4,High,0.4,Very Low,Systems Administrator,Auditor,Cyber Security Analyst / Specialist,Unix Administrator / Engineer,IT Director,Network Administrator,Windows Administrator,Software Developer / Engineer,Network Engineer / Architect,Oracle Database Administrator,8,16,47,7,5,9,19,152,27,<10,10,<10,30,3,0,7,0
,14010,,"Bloomington, IL",189413,514,839,1.6,Very Low,2.1,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Technical Consultant / Analyst,Network Engineer / Architect,Unix Administrator / Engineer,Software Developer / Engineer,Auditor,Senior Software Developer / Engineer,Systems Administrator,Cisco Engineer,288,150,408,302,41,226,60,59,78,56,41,18,62,159,0,27,13
,14020,,"Bloomington, IN",165577,75,248,3.3,Very Low,0.4,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,IT Director,Mobile Developer / Engineer,Unix Administrator / Engineer,.NET Developer / Engineer,Systems Engineer,Systems Support Specialist,Technical Consultant / Analyst,Auditor,28,22,44,22,0,16,25,170,33,<10,<10,<10,3,8,1,6,3
,14100,,"Bloomsburg-Berwick, PA",85229,18,198,11,Very High,0.1,Very Low,Auditor,Network Analyst / Specialist,Network Engineer / Architect,Telecommunications Specialist / Engineer,Business Intelligence Analyst,Cyber Security Analyst / Specialist,Cyber Security Engineer,Data / Data Mining Analyst,Database Administrator,Systems Support Specialist,9,3,15,7,5,2,2,15,<10,<10,<10,<10,0,0,0,0,0
,14260,,"Boise City, ID",676909,350,1071,3.1,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Systems Administrator,Systems Engineer,Technical Consultant / Analyst,Auditor,Network Engineer / Architect,Help Desk Technician / Analyst,Network Administrator,IT Specialist / Engineer,144,139,258,120,10,79,88,993,105,<10,42,19,34,92,0,69,50
71650,14460,,"Boston-Cambridge-Newton, MA-NH",4774321,8666,15524,1.8,Very Low,1.3,High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Auditor,Network Engineer / Architect,Systems Engineer,Software Developer / Engineer,Systems Administrator,IT Director,Risk Manager / Analyst,Information Assurance Engineer / Analyst,3168,4868,5667,2748,0,1286,2849,1502,1371,167,725,208,352,2371,76,1495,914
,14500,,"Boulder, CO",319372,670,1151,1.7,Very Low,1.5,Very High,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Systems Administrator,Software Developer / Engineer,Cloud Architect,Network Administrator,Systems Analyst,Application Developer / Engineer,247,303,461,259,51,154,218,109,122,16,30,16,23,169,3,67,49
,14540,,"Bowling Green, KY",168436,25,76,3.1,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,Systems Engineer,Network Administrator,Network Engineer / Architect,,,,,,,3,6,17,6,0,1,6,28,<10,<10,<10,<10,0,3,2,0,3
,14740,,"Bremerton-Silverdale, WA",260131,163,637,3.9,Low,0.8,Low,Cyber Security Analyst / Specialist,Network Engineer / Architect,Information Assurance Engineer / Analyst,Systems Administrator,Technical Consultant / Analyst,Windows Administrator,Systems Engineer,Database Administrator,Computer Support Specialist,Server Administrator,17,77,141,25,0,3,2,749,135,<10,15,<10,64,30,0,0,0
,14860,,"Bridgeport-Stamford-Norwalk, CT",948053,1708,2540,1.5,Very Low,1.6,Very High,Cyber Security Analyst / Specialist,Auditor,Cyber Security Engineer,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,SAP Architect / Analyst,Technical Consultant / Analyst,IT Manager,Systems Analyst,676,902,1080,581,161,226,633,109,194,31,151,53,27,462,17,427,227
,15180,,"Brownsville-Harlingen, TX",422156,20,51,2.5,Very Low,0.1,Very Low,Cyber Security Analyst / Specialist,IT Specialist / Engineer,IT Director,Cloud Architect,,,,,,,2,7,13,3,2,3,8,47,<10,<10,<10,<10,0,4,2,0,4
,15260,,"Brunswick, GA",116003,19,85,4.5,Average,0.2,Very Low,Network Engineer / Architect,Network Analyst / Specialist,Systems Support Specialist,Chief Information Officer,IT Director,IT Specialist / Engineer,,,,,0,6,14,0,3,2,3,50,<10,<10,<10,<10,3,1,0,0,0
,15380,,"Buffalo-Cheektowaga-Niagara Falls, NY",1135230,745,2442,3.3,Very Low,0.5,Very Low,Cyber Security Analyst / Specialist,Auditor,Network Engineer / Architect,Cyber Security Engineer,Systems Engineer,Risk Manager / Analyst,Systems Administrator,Exchange Engineer,Software Developer / Engineer,Technical Consultant / Analyst,379,311,457,261,14,149,199,182,100,<10,89,38,37,257,4,140,62
,15500,,"Burlington, NC",158276,27,54,2,Very Low,0.2,Very Low,Network Engineer / Architect,Cyber Security Analyst / Specialist,Cyber Security Engineer,Data Architect,Auditor,Software Developer / Engineer,IT Manager,IT Operations / Networking Manager,Regulatory Affairs Specialist,SharePoint Developer,8,21,17,4,0,1,10,35,13,<10,12,<10,1,6,0,4,2
,15540,,"Burlington-South Burlington, VT",217042,194,367,1.9,Very Low,0.6,Very Low,Cyber Security Analyst / Specialist,Cyber Security Engineer,Network Engineer / Architect,Systems Engineer,Help Desk Technician / Analyst,Systems Administrator,Unix Administrator / Engineer,Windows Administrator,Systems Analyst,Systems Support Specialist,55,94,153,51,7,33,58,90,49,<10,<10,10,12,31,3,9,10
,15680,,"California-Lexington Park, MD",111413,482,1370,2.8,Very Low,4.4,Very High,Cyber Security Analyst / Specialist,Information Assurance Engineer / Analyst,Systems Administrator,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Engineer,Network Analyst / Specialist,Help Desk Technician / Analyst,Systems Analyst,IT Specialist / Engineer,175,214,376,143,6,87,49,905,145,<10,<10,10,182,113,0,12,28
