NECTA,fips,state,msa,population,total_postings,total_supply,supply_demand_ratio,supply_demand_qualifier,location_quotient,location_quotient_qualifier,top_job_1,top_job_2,top_job_3,top_job_4,top_job_5,top_job_6,top_job_7,top_job_8,top_job_9,top_job_10,analyze,securely_provision,operate_maintain,protect_defend,investigate,collect_operate,oversight_development,security+_holders,cissp_holders,cipp_holders,cisa_holders,cism_holders,giac_holders,security+_openings,cissp_openings,cipp_openings,cisa_openings,cism_openings,giac_openings
,28,MS,,2988726,930,2456,2.64,Very Low,0.39,Very Low,Cyber Security Engineer,Network Engineer / Architect,Systems Administrator,Cyber Security Specialist / Technician,Information Assurance Engineer / Analyst,Cyber Security Analyst,Cyber Security Manager / Administrator,Software Developer / Engineer,Network Administrator,Systems Engineer,266,548,709,397,0,132,218,1862,156,<10,72,26,162,172,222,0,97,56,132
,30,MT,,1042520,255,752,2.95,Very Low,0.26,Very Low,Cyber Security Engineer,Cyber Security Analyst,IT Director,Security Officer,Network Engineer / Architect,Cyber Security Specialist / Technician,Vulnerability Analyst / Penetration Tester,Internal Auditor,Cyber Security Manager / Administrator,Incident Analyst / Responder,98,133,180,118,5,53,84,229,71,<10,23,<10,55,28,30,0,13,11,18
,0,National,,323127513,299335,746858,2.5,Very Low,1,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Software Developer / Engineer,Systems Engineer,Systems Administrator,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,113640,181547,194396,118354,2216,48044,85381,167776,69549,5401,28878,10447,40091,33025,76336,1436,39710,24809,29805
,37,NC,,10146788,10084,25371,2.52,Very Low,1.12,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,Cyber Security Architect,Systems Engineer,Systems Administrator,4110,6202,6582,4248,127,1506,2829,5810,2008,105,983,294,1075,941,2334,22,1269,767,959
,38,ND,,757952,312,781,2.5,Very Low,0.34,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Network Analyst / Specialist,Software Developer / Engineer,Security Officer,Systems Administrator,Incident Analyst / Responder,Cyber Security Architect,86,154,201,119,0,56,91,272,37,<10,23,<10,76,32,54,1,22,18,6
,31,NE,,1907116,1863,4576,2.46,Very Low,0.9,Average,Cyber Security Engineer,Cyber Security Analyst,Systems Engineer,Information Assurance Engineer / Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,Vulnerability Analyst / Penetration Tester,Internal Auditor,Software Developer / Engineer,689,1223,1330,799,3,273,420,1100,417,25,142,40,349,245,440,5,195,173,164
,33,NH,,1334795,605,1782,2.95,Very Low,0.44,Very Low,Cyber Security Engineer,Cyber Security Analyst,Software Developer / Engineer,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Administrator,Systems Engineer,Technical Support Engineer / Analyst,IT Auditor,IT Director,220,343,408,245,2,128,153,543,361,45,86,34,155,58,109,1,65,35,50
,34,NJ,,8944469,9733,22768,2.34,Very Low,1.15,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Software Developer / Engineer,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Specialist / Technician,Cyber Security Consultant,Systems Engineer,4274,6163,6158,4547,71,1655,3452,2136,2124,229,1605,519,1017,316,2615,38,1708,1156,780
,35,NM,,2081015,1369,3546,2.59,Very Low,0.8,Low,Systems Administrator,Cyber Security Engineer,Cyber Security Manager / Administrator,Cyber Security Analyst,Network Administrator,Security Officer,Software Developer / Engineer,Systems Engineer,Network Engineer / Architect,Information Assurance Engineer / Analyst,400,605,940,466,5,197,335,1235,297,<10,66,29,186,399,223,0,24,43,63
,32,NV,,2940058,1724,4063,2.36,Very Low,0.64,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,IT Auditor,Systems Administrator,Cyber Security Manager / Administrator,Cyber Security Architect,Systems Engineer,IT Specialist / Engineer,Network Administrator,612,971,1188,609,15,221,511,1441,350,13,116,36,376,197,385,2,251,133,178
,36,NY,,19745289,14509,48774,3.36,Very Low,0.75,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Auditor,Vulnerability Analyst / Penetration Tester,Internal Auditor,Systems Engineer,Software Developer / Engineer,Cyber Security Architect,6479,8866,8654,6128,159,2306,5787,3002,2139,466,1803,577,1432,379,3609,126,2768,1526,1066
,39,OH,,11614373,7101,22716,3.2,Very Low,0.62,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Cyber Security Manager / Administrator,Software Developer / Engineer,Systems Administrator,Vulnerability Analyst / Penetration Tester,Systems Engineer,Internal Auditor,2913,4354,4844,2876,45,1130,1995,4036,1560,115,1013,216,840,478,1719,18,1102,504,465
,40,OK,,3923561,1563,5031,3.22,Very Low,0.46,Very Low,Cyber Security Engineer,Cyber Security Analyst,Software Developer / Engineer,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Administrator,IT Auditor,IT Specialist / Engineer,Computer Support Specialist,Security Officer,505,938,1057,630,3,290,411,2185,416,<10,196,52,230,171,272,2,121,60,84
,41,OR,,4093465,3448,6724,1.95,Very Low,0.9,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,Vulnerability Analyst / Penetration Tester,Cyber Security Architect,Software Developer / Engineer,Systems Administrator,Cyber Security Specialist / Technician,1524,2039,2364,1472,26,670,1016,806,566,59,230,64,425,92,803,20,369,302,347
,42,PA,,12784227,8011,23045,2.88,Very Low,0.65,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,IT Auditor,Cyber Security Manager / Administrator,Executive Director,Software Developer / Engineer,Systems Engineer,Internal Auditor,Cyber Security Specialist / Technician,3172,4622,4931,3005,32,1290,2620,3597,2059,159,1196,314,1283,414,1735,34,1270,712,567
,44,RI,,1056426,853,2912,3.41,Very Low,0.84,Average,Cyber Security Engineer,Cyber Security Analyst,IT Auditor,Network Engineer / Architect,Internal Auditor,Information Assurance Engineer / Analyst,Cyber Security Specialist / Technician,Cyber Security Architect,Cyber Security Manager / Administrator,IT Specialist / Engineer,359,563,608,374,4,161,193,418,191,20,108,38,174,81,231,0,154,91,111
,45,SC,,4961119,3158,8201,2.6,Very Low,0.75,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Systems Administrator,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,Systems Engineer,Information Assurance Engineer / Analyst,Technical Support Engineer / Analyst,1100,1960,2200,1274,7,546,580,3288,870,41,213,101,784,539,649,10,283,250,400
,46,SD,,865454,888,1327,1.49,Very Low,1,Average,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Cyber Security Specialist / Technician,IT Auditor,Network Engineer / Architect,Cyber Security Consultant,Vulnerability Analyst / Penetration Tester,Risk Consultant,Systems Engineer,382,515,596,464,7,190,349,245,74,<10,33,12,82,41,222,8,180,78,48
,47,TN,,6651194,3047,8566,2.81,Very Low,0.49,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,Systems Engineer,IT Auditor,Vulnerability Analyst / Penetration Tester,Cyber Security Consultant,Cyber Security Specialist / Technician,Internal Auditor,1131,1741,2054,1228,5,532,930,2236,841,42,472,110,514,186,708,14,503,312,316
,48,TX,,27862596,21214,64671,3.05,Very Low,0.85,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Systems Engineer,IT Auditor,Internal Auditor,Cyber Security Architect,8383,13509,13531,8732,107,3751,6314,12678,5667,307,2930,822,3675,1350,5443,106,3033,1922,2146
,49,UT,,3051217,1843,4984,2.7,Very Low,0.63,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Software Developer / Engineer,Systems Administrator,Systems Engineer,Help Desk Technician / Analyst,Technical Support Engineer / Analyst,Cyber Security Architect,638,1084,1213,716,6,312,533,2266,615,39,241,52,459,263,358,9,171,122,157
,51,VA,,8411808,35837,70726,1.97,Very Low,4.47,Very High,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Systems Engineer,Systems Administrator,Cyber Security Manager / Administrator,Information Assurance Engineer / Analyst,Incident Analyst / Responder,Cyber Security Specialist / Technician,12148,21478,23924,13456,394,5674,7671,24311,10132,355,2086,1295,3888,7875,10928,84,2985,2490,4656
,50,VT,,624594,319,774,2.43,Very Low,0.49,Very Low,Cyber Security Engineer,IT Auditor,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Architect,Systems Engineer,Cyber Security Specialist / Technician,Cyber Security Manager / Administrator,IT Director,,88,237,254,154,6,64,117,122,91,<10,17,14,84,16,100,0,51,16,14
,53,WA,,7288000,5851,16712,2.86,Very Low,0.89,Average,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Software Developer / Engineer,Cyber Security Manager / Administrator,Vulnerability Analyst / Penetration Tester,Systems Engineer,Cyber Security Consultant,Systems Administrator,Cyber Security Architect,2306,3463,3609,2249,25,995,1891,3993,1846,249,599,251,974,388,1412,45,779,567,586
,55,WI,,5778708,2625,8900,3.39,Very Low,0.44,Very Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Cyber Security Manager / Administrator,IT Auditor,Cyber Security Consultant,Vulnerability Analyst / Penetration Tester,Systems Administrator,Internal Auditor,Software Developer / Engineer,1083,1532,1784,1118,29,562,856,824,582,26,312,107,414,50,527,11,329,187,193
,54,WV,,1831102,1012,2438,2.41,Very Low,0.68,Low,Cyber Security Engineer,Cyber Security Analyst,Network Engineer / Architect,Unix Administrator / Engineer,Systems Administrator,Cyber Security Specialist / Technician,Information Assurance Engineer / Analyst,Application Developer / Engineer,Software Developer / Engineer,,268,510,699,360,13,124,282,837,329,12,41,30,105,245,250,0,59,56,117
,56,WY,,585501,81,333,4.11,Low,0.14,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Systems Engineer,,,,,,,17,45,71,41,0,14,25,185,38,<10,<10,<10,43,8,8,0,6,7,1
,10180,,"Abilene, TX",170364,25,86,3.44,Very Low,0.18,Very Low,Cyber Security Engineer,Cyber Security Specialist / Technician,,,,,,,,,10,7,17,10,0,1,7,70,<10,<10,<10,<10,<10,7,2,0,0,1,1
,10380,,"Aguadilla-Isabela, PR",309696,10,72,7.2,High,0.11,Very Low,,,,,,,,,,,7,3,8,5,0,3,1,<10,<10,<10,<10,<10,<10,1,1,0,0,0,0
,10420,,"Akron, OH",702221,258,930,3.6,Very Low,0.37,Very Low,Cyber Security Engineer,Network Engineer / Architect,Cyber Security Analyst,Cyber Security Manager / Administrator,Internal Auditor,Software Developer / Engineer,Cyber Security Specialist / Technician,Computer Operator,Cyber Security Consultant,IT Auditor,100,164,162,103,0,44,64,105,75,<10,58,<10,56,7,50,1,32,15,18
,10580,,"Albany-Schenectady-Troy, NY",881839,546,2096,3.84,Low,0.58,Very Low,Cyber Security Engineer,Cyber Security Analyst,Cyber Security Manager / Administrator,Network Engineer / Architect,Systems Engineer,Internal Auditor,IT Auditor,Cyber Security Consultant,Cyber Security Architect,Software Developer / Engineer,228,317,322,198,5,80,215,150,152,<10,89,29,245,8,108,0,74,43,31
